time,Close,High,Low,Open,Volume,price_return,return_3h_mean,return_3h_std,volume_zscore,anomaly
2025-06-02 13:30:00,30.13999939,30.49640083,29.72999954,29.87000084,2376431,0.0,,,,1
2025-06-02 14:30:00,30.34000015,30.42000008,30.04000092,30.11000061,910996,0.0066357254163169,,,,1
2025-06-02 15:30:00,30.12549973,30.38999939,30.02000046,30.34000015,829359,-0.0070698885609596,-0.0001447210482142,0.0068539530024561,,1
2025-06-02 16:30:00,30.14999962,30.27000046,30.09000015,30.14999962,420770,0.0008132608660296,0.0001263659071289,0.0068785777699283,,1
2025-06-02 17:30:00,30.73999977,30.87999916,30.13549995,30.15500069,1165139,0.0195688277756602,0.00443740002691,0.0136841547239424,,1
2025-06-02 18:30:00,30.54500008,30.79000092,30.43000031,30.74600029,760976,-0.006343516312915,0.0046795241095916,0.0133818305041788,,1
2025-06-02 19:30:00,30.61000061,30.65999985,30.51000023,30.54500008,678548,0.002128025203135,0.0051177788886267,0.0132123565031418,,1
2025-06-03 13:30:00,30.63999939,31.04999924,30.48999977,30.80999947,1667749,0.000980031996151,-0.0010784863712096,0.0045956367693836,,1
2025-06-03 14:30:00,30.81999969,31.0,30.56999969,30.64999962,946380,0.0058746835373222,0.0029942469122027,0.0025597184345778,,1
2025-06-03 15:30:00,30.45999908,30.84000015,30.45999908,30.81999969,701428,-0.011680746710611,-0.0016086770590459,0.0090594891537468,,1
2025-06-03 16:30:00,30.45999908,30.59000015,30.3519001,30.45000076,547253,0.0,-0.0019353543910962,0.0089363012629311,,1
2025-06-03 17:30:00,30.22999954,30.57999992,30.15999985,30.45999908,477946,-0.0075508715346946,-0.0064105394151019,0.0059232785631433,,1
2025-06-03 18:30:00,30.39999962,30.43000031,30.02000046,30.22820091,776065,0.0056235554941062,-0.0006424386801961,0.0066106677028617,,1
2025-06-03 19:30:00,30.09000015,30.45000076,30.06999969,30.38999939,653843,-0.0101973511143088,-0.0040415557182991,0.0084741810579224,,1
2025-06-04 13:30:00,29.59000015,29.93420029,29.34000015,29.89999962,1747899,-0.016616816135177,-0.0070635372517932,0.0114465769794217,,1
2025-06-04 14:30:00,29.90999985,30.04000092,29.54920006,29.57999992,824366,0.0108144541526808,-0.005333237698935,0.0143479387679762,,1
2025-06-04 15:30:00,30.01000023,30.14999962,29.87030029,29.90500069,469069,0.0033433761451524,-0.0008196619457812,0.0141815659223974,,1
2025-06-04 16:30:00,30.21500015,30.23500061,29.93000031,30.01000023,411533,0.0068310535964297,0.006996294631421,0.003738279028962,,1
2025-06-04 17:30:00,30.27000046,30.96999931,30.21999931,30.21999931,1862842,0.0018202981872232,0.0039982426429351,0.0025687652754118,,1
2025-06-04 18:30:00,30.34410095,30.35000038,30.11000061,30.29000092,616886,0.0024479844358746,0.0036997787398425,0.0027298643148163,,1
2025-06-04 19:30:00,29.96999931,30.40500069,29.92499924,30.34000015,965242,-0.0123286447213063,-0.0026867873660694,0.0083559893160976,,1
2025-06-05 13:30:00,30.31570053,30.5,29.60000038,29.80999947,1301878,0.0115349091744774,0.0005514162963485,0.0120442944652288,,1
2025-06-05 14:30:00,30.41500092,30.6079998,30.23999977,30.30999947,856787,0.0032755433080535,0.0008272692537415,0.0121186977649418,,1
2025-06-05 15:30:00,30.21999931,30.54000092,30.15010071,30.40060043,556938,-0.0064113629492535,0.0027996965110924,0.0089825939135299,-0.749211250400855,1
2025-06-05 16:30:00,30.15500069,30.23999977,29.80999947,30.23500061,774895,-0.0021508478320344,-0.0017622224910781,0.0048551323824576,-0.2379089935718071,1
2025-06-05 17:30:00,29.90970039,30.17000008,29.81040001,30.15010071,405885,-0.0081346474676535,-0.0055656194163138,0.0030802477355629,-1.0634524757330113,1
2025-06-05 18:30:00,29.47999954,29.92469978,29.22999954,29.92469978,1078760,-0.0143666049608328,-0.0082173667535069,0.0061082986516407,0.5168397692671465,1
2025-06-05 19:30:00,29.45999908,29.70999908,29.34499931,29.5,834533,-0.0006784416659458,-0.0077265646981441,0.0068532001471539,-0.1070039966558658,1
2025-06-06 13:30:00,29.70000076,29.87039948,29.54500008,29.67000008,1085301,0.0081466967920897,-0.0022994499448963,0.0113438503090818,0.514716916464043,1
2025-06-06 14:30:00,29.84000015,29.95000076,29.63470078,29.70999908,634953,0.0047137840544619,0.0040606797268686,0.0044486712789231,-0.5720458251325028,1
2025-06-06 15:30:00,29.88949966,29.97999954,29.75,29.82579994,380009,0.0016588307557363,0.004839770534096,0.0032457673778638,-1.1337474655139672,1
2025-06-06 16:30:00,29.86800003,30.0,29.72999954,29.88500023,437243,-0.0007193037770641,0.0018844370110447,0.0027235609930925,-0.9409709875566264,1
2025-06-06 17:30:00,29.86000061,29.95999908,29.80999947,29.86000061,282369,-0.0002678257664379,0.000223900404078,0.0012630229349074,-1.2251397674420716,1
2025-06-06 18:30:00,29.69000053,29.89377213,29.54999924,29.87000084,620054,-0.005693237659984,-0.0022267890678287,0.0030105078442119,-0.3819313410317073,1
