Datetime,Close,High,Low,Open,Volume
2025-06-02 13:30:00+00:00,30.13999939,30.49640083,29.72999954,29.87000084,2376431
2025-06-02 14:30:00+00:00,30.34000015,30.42000008,30.04000092,30.11000061,910996
2025-06-02 15:30:00+00:00,30.12549973,30.38999939,30.02000046,30.34000015,829359
2025-06-02 16:30:00+00:00,30.14999962,30.27000046,30.09000015,30.14999962,420770
2025-06-02 17:30:00+00:00,30.73999977,30.87999916,30.13549995,30.15500069,1165139
2025-06-02 18:30:00+00:00,30.54500008,30.79000092,30.43000031,30.74600029,760976
2025-06-02 19:30:00+00:00,30.61000061,30.65999985,30.51000023,30.54500008,678548
2025-06-03 13:30:00+00:00,30.63999939,31.04999924,30.48999977,30.80999947,1667749
2025-06-03 14:30:00+00:00,30.81999969,31,30.56999969,30.64999962,946380
2025-06-03 15:30:00+00:00,30.45999908,30.84000015,30.45999908,30.81999969,701428
2025-06-03 16:30:00+00:00,30.45999908,30.59000015,30.3519001,30.45000076,547253
2025-06-03 17:30:00+00:00,30.22999954,30.57999992,30.15999985,30.45999908,477946
2025-06-03 18:30:00+00:00,30.39999962,30.43000031,30.02000046,30.22820091,776065
2025-06-03 19:30:00+00:00,30.09000015,30.45000076,30.06999969,30.38999939,653843
2025-06-04 13:30:00+00:00,29.59000015,29.93420029,29.34000015,29.89999962,1747899
2025-06-04 14:30:00+00:00,29.90999985,30.04000092,29.54920006,29.57999992,824366
2025-06-04 15:30:00+00:00,30.01000023,30.14999962,29.87030029,29.90500069,469069
2025-06-04 16:30:00+00:00,30.21500015,30.23500061,29.93000031,30.01000023,411533
2025-06-04 17:30:00+00:00,30.27000046,30.96999931,30.21999931,30.21999931,1862842
2025-06-04 18:30:00+00:00,30.34410095,30.35000038,30.11000061,30.29000092,616886
2025-06-04 19:30:00+00:00,29.96999931,30.40500069,29.92499924,30.34000015,965242
2025-06-05 13:30:00+00:00,30.31570053,30.5,29.60000038,29.80999947,1301878
2025-06-05 14:30:00+00:00,30.41500092,30.6079998,30.23999977,30.30999947,856787
2025-06-05 15:30:00+00:00,30.21999931,30.54000092,30.15010071,30.40060043,556938
2025-06-05 16:30:00+00:00,30.15500069,30.23999977,29.80999947,30.23500061,774895
2025-06-05 17:30:00+00:00,29.90970039,30.17000008,29.81040001,30.15010071,405885
2025-06-05 18:30:00+00:00,29.47999954,29.92469978,29.22999954,29.92469978,1078760
2025-06-05 19:30:00+00:00,29.45999908,29.70999908,29.34499931,29.5,834533
2025-06-06 13:30:00+00:00,29.70000076,29.87039948,29.54500008,29.67000008,1085301
2025-06-06 14:30:00+00:00,29.84000015,29.95000076,29.63470078,29.70999908,634953
2025-06-06 15:30:00+00:00,29.88949966,29.97999954,29.75,29.82579994,380009
2025-06-06 16:30:00+00:00,29.86800003,30,29.72999954,29.88500023,437243
2025-06-06 17:30:00+00:00,29.86000061,29.95999908,29.80999947,29.86000061,282369
2025-06-06 18:30:00+00:00,29.69000053,29.89377213,29.54999924,29.87000084,620054
2025-06-06 19:30:00+00:00,29.57999992,29.70999908,29.55999947,29.69000053,682634
2025-06-09 13:30:00+00:00,29.59000015,30.04750061,29.54999924,29.92000008,1440279
2025-06-09 14:30:00+00:00,29.47500038,29.72999954,29.45000076,29.58009911,790289
2025-06-09 15:30:00+00:00,29.64999962,29.71999931,29.45000076,29.45999908,381386
2025-06-09 16:30:00+00:00,29.68000031,29.75,29.62000084,29.65500069,474037
2025-06-09 17:30:00+00:00,29.81999969,29.94499969,29.67000008,29.68000031,470123
2025-06-09 18:30:00+00:00,30.34000015,30.48999977,29.75,29.80999947,1111024
2025-06-09 19:30:00+00:00,30.32999992,30.43499947,30.21999931,30.39970016,840534
2025-06-10 13:30:00+00:00,30.02300072,30.60000038,29.89999962,30.54000092,1668571
2025-06-10 14:30:00+00:00,30.01000023,30.17000008,29.97999954,30.02499962,644867
2025-06-10 15:30:00+00:00,29.76230049,30.00139999,29.65999985,30.00139999,1143774
2025-06-10 16:30:00+00:00,29.95999908,30.11000061,29.77009964,29.77599907,1032245
2025-06-10 17:30:00+00:00,29.89949989,30.03000069,29.81999969,29.95000076,748700
2025-06-10 18:30:00+00:00,30.35899925,30.37989998,29.75,29.88999939,1482588
2025-06-10 19:30:00+00:00,30.15999985,30.42000008,30,30.36000061,1907849
2025-06-11 13:30:00+00:00,28.67989922,29.41379929,28.45000076,29.02000046,5771285
2025-06-11 14:30:00+00:00,29.19000053,29.20999908,28.43000031,28.67989922,2229654
2025-06-11 15:30:00+00:00,28.73539925,29.32999992,28.55999947,29.20000076,1571000
2025-06-11 16:30:00+00:00,28.80999947,28.95999908,28.60000038,28.73530006,792582
2025-06-11 17:30:00+00:00,28.69000053,28.89999962,28.45999908,28.82010078,1030746
2025-06-11 18:30:00+00:00,28.60000038,28.79990005,28.53000069,28.68000031,766548
2025-06-11 19:30:00+00:00,28.51000023,28.61000061,28.42000008,28.61000061,1039047
